series_id,series_name,brand_name,sub_brand_name,min_price,max_price,count,rank
8808,风云A8,奇瑞风云,奇瑞汽车,7.99,10.99,19317,270
10147,捷途山海L7,捷途山海,奇瑞汽车,10.98,22.38,19293,271
5898,易至EV2,江铃集团新能源,江铃集团新能源,3.99,5.19,19280,272
4357,蔚来EC6,蔚来,蔚来,35.8,37.0,19264,273
24521,奥迪A5L,奥迪,一汽奥迪,23.98,28.58,19238,274
1182,荣威RX5,荣威,上汽集团,6.99,12.79,19190,275
3352,小鹏P7,小鹏汽车,小鹏汽车,21.98,30.18,19088,276
1281,沃尔沃S90,沃尔沃,沃尔沃亚太,26.79,34.29,19080,277
416,大众CC,大众,一汽-大众,16.89,21.89,18970,278
25387,尚界H5,尚界,上汽集团,15.98,19.98,18857,279
6067,理想MEGA,理想汽车,理想汽车,52.98,55.98,18857,280
5417,红旗H6,红旗,一汽红旗,12.98,19.98,18577,281
4302,奥迪A7L,奥迪,上汽奥迪,31.7,55.42,18319,282
4537,航海家,林肯,长安林肯,23.99,41.88,18265,283
4901,五菱征程,五菱汽车,上汽通用五菱,6.88,9.08,17955,284
445,菱智,东风风行,东风风行,4.99,9.99,17864,285
9255,瑞驰EC75,瑞驰,瑞驰汽车,7.99,14.19,17801,286
8934,赛图斯,起亚,起亚,7.39,12.39,17761,287
9129,长安启源A05,长安启源,长安启源,6.49,8.49,17670,288
8979,宋L EV,比亚迪,比亚迪,17.98,23.98,17616,289
8930,曹操60,曹操汽车,曹操汽车,12.98,16.98,17508,290
5409,蔚来ET5,蔚来,蔚来,29.8,31.6,17402,291
4258,ID.4 X,大众,上汽大众,13.99,19.19,17325,292
10124,五菱星光S PHEV,五菱汽车,上汽通用五菱,8.68,11.68,17267,293
10137,马自达EZ-6,马自达,长安马自达,11.98,16.28,17249,294
9947,享界S9,享界,北汽新能源,30.98,44.98,17164,295
3276,捷达VS7,捷达,一汽-大众捷达,8.58,12.09,17122,296
20089,212 T01,212,二一二越野车,13.99,20.58,17113,297
37,MG7,名爵,上汽集团,12.59,17.89,16642,298
5048,凡尔赛C5 X,雪铁龙,东风雪铁龙,9.97,17.17,16564,299
6294,小鹏X9,小鹏汽车,小鹏汽车,30.98,41.98,16556,300
5034,库斯途,现代,北京现代,12.08,16.98,16541,301
25187,汉L EV,比亚迪,比亚迪,20.48,26.48,16379,302
1014,马自达3 昂克赛拉,马自达,长安马自达,7.99,13.19,16291,303
5886,锐胜王牌M7,北京汽车制造厂,北京汽车制造厂,6.18,15.38,16100,304
6298,iCAR 03,iCAR,奇瑞新能源,8.98,13.98,16054,305
9958,星海S7,东风风行,东风风行,10.59,18.99,15833,306
6070,狮铂拓界,起亚,起亚,10.98,16.78,15757,307
9684,长安X7 PLUS,长安,长安汽车,7.79,10.49,15398,308
25071,传祺向往S7,广汽传祺,广汽传祺,15.98,21.98,15368,309
5059,金海狮,SRM鑫源,鑫源汽车,6.09,10.59,15215,310
2913,奔驰A级,奔驰,北京奔驰,12.57,21.57,15117,311
3365,奕炫,东风风神,东风乘用车,6.49,10.68,15044,312
653,哈弗H9,哈弗,长城汽车,17.49,23.29,14934,313
25185,唐L EV,比亚迪,比亚迪,22.48,27.48,14767,314
6271,别克E5,别克,上汽通用别克,14.99,17.79,14702,315
4284,探险者,福特,长安福特,30.98,39.98,14644,316
25587,海豹06DM旅行版,比亚迪,比亚迪,10.98,12.98,14609,317
1318,索纳塔,现代,北京现代,10.58,15.28,14485,318
5388,领睿,福特,江铃福特,9.88,16.98,14228,319
8942,宝马iX1,宝马,华晨宝马,17.08,19.7,14157,320
25136,深蓝S09,深蓝汽车,深蓝汽车,22.99,29.99,13838,321
3437,揽境,大众,一汽-大众,24.69,29.99,13267,322
24934,风云T8,奇瑞风云,奇瑞汽车,8.99,13.69,13204,323
336,标致408,标致,东风标致,8.07,8.97,13171,324
8965,星纪元ES,星途,星途,15.28,26.98,13154,325
8966,星纪元ET,星途,星途,18.98,31.98,13113,326
9235,五菱星光PHEV,五菱汽车,上汽通用五菱,6.98,9.48,13004,327
4160,威然,大众,上汽大众,19.99,30.49,12988,328
25557,理想i6,理想汽车,理想汽车,24.48,26.98,12977,329
1475,欧诺S,长安凯程,长安轻型车,4.69,5.44,12964,330
25436,捷途山海L7 PLUS,捷途山海,奇瑞汽车,10.99,15.59,12946,331
9131,极石01,ROX极石,北京汽车制造厂,29.99,35.99,12921,332
24670,ZEEKR 9X,极氪,极氪,46.59,59.99,12569,333
8858,银河E8,吉利银河,吉利银河,12.18,20.08,12538,334
5440,林肯Z,林肯,长安林肯,16.98,29.98,12468,335
5827,五菱佳辰,五菱汽车,上汽通用五菱,6.08,11.58,12423,336
10207,宝骏云海EV,宝骏,上汽通用五菱,9.98,16.58,12275,337
3801,红旗H5 PHEV,红旗,一汽红旗,14.58,15.98,12217,338
9225,智界S7,智界,奇瑞汽车,22.98,32.98,12178,339
20025,五菱宏光增程版,五菱汽车,上汽通用五菱,5.98,7.98,12143,340
4792,星途凌云,星途,星途,11.79,16.99,12064,341
4538,宝马iX3,宝马,华晨宝马,25.65,29.25,11720,342
6328,启辰VX6,启辰,东风日产,10.78,14.59,11477,343
9794,知豆彩虹,知豆,知豆电动车,3.19,6.09,11347,344
4787,影豹,广汽传祺,广汽传祺,8.8,14.8,11336,345
9211,深蓝G318,深蓝汽车,深蓝汽车,17.59,21.99,11288,346
25314,丰田bZ5,丰田,一汽丰田,12.98,19.98,11283,347
25345,马自达EZ-60,马自达,长安马自达,11.99,16.09,11259,348
9234,五菱星光EV,五菱汽车,上汽通用五菱,8.38,11.58,11203,349
1820,秦EV,比亚迪,比亚迪,16.88,16.88,11106,350
3052,长安CS35 PLUS,长安,长安汽车,7.19,8.39,11023,351
2928,缤瑞,吉利汽车,吉利汽车,7.48,9.48,11009,352
25595,享界S9T,享界,北汽新能源,30.98,36.98,10989,353
6253,ZEEKR X,极氪,极氪,14.9,19.9,10784,354
5982,五菱星驰,五菱汽车,上汽通用五菱,5.18,6.48,10599,355
3094,科鲁泽,雪佛兰,上汽通用雪佛兰,9.49,10.89,10548,356
8788,皓瀚,东风风神,东风乘用车,7.99,12.19,10452,357
24944,奥迪A5L Sportback,奥迪,上汽奥迪,25.99,38.29,10337,358
8973,瑞虎9 C-DM,奇瑞,奇瑞汽车,15.59,17.59,10198,359
245,奔驰V级,奔驰,福建奔驰,33.48,49.38,10198,360
6321,哈弗H5,哈弗,长城汽车,12.78,15.78,9912,361
10123,五菱星光S EV,五菱汽车,上汽通用五菱,11.98,12.98,9835,362
244,威霆,奔驰,福建奔驰,22.38,35.48,9815,363
1622,领克01,领克,领克,11.98,15.18,9745,364
10171,腾势Z9GT DM,腾势,腾势汽车,33.48,41.48,9503,365
9345,昊铂HT,广汽昊铂,广汽埃安新能源,18.99,22.99,9425,366
2971,凯迪拉克XT4,凯迪拉克,上汽通用凯迪拉克,15.99,18.99,9407,367
5151,枫叶60s,睿蓝汽车,睿蓝汽车,14.98,15.98,9336,368
25535,东风风神L8 PHEV,东风风神,东风乘用车,12.99,14.99,9214,369
25546,荣威M7 DMH,荣威,上汽集团,8.58,10.28,9091,370
9793,电动MINI COOPER,MINI,光束汽车,15.38,23.98,9088,371
25232,纳米06,东风纳米,东风汽车,8.19,11.19,9080,372
3157,吉利几何A,吉利几何,吉利几何,16.57,17.38,9061,373
282,艾力绅,本田,东风本田,20.08,27.38,8875,374
6036,本田HR-V,本田,东风本田,10.99,17.89,8810,375
5106,零跑C01,零跑汽车,零跑汽车,13.68,15.88,8693,376
4334,奥迪Q4 e-tron,奥迪,一汽奥迪,19.13,24.23,8553,377
5842,腾势D9 EV,腾势,腾势汽车,31.98,46.98,8536,378
25611,银河星耀6,吉利银河,吉利银河,6.88,9.98,8501,379
9350,福特烈马,福特,江铃福特,29.98,49.88,8475,380
3455,比亚迪e2,比亚迪,比亚迪,8.98,14.78,8379,381
768,瑞风M3,江淮瑞风,江汽集团,5.93,11.99,8360,382
5081,领克09,领克,领克,19.88,23.28,8337,383
4355,红旗H9,红旗,一汽红旗,23.58,44.58,8197,384
9343,探陆,日产,东风日产,19.98,26.18,8185,385
25682,零跑Lafa5,零跑汽车,零跑汽车,9.28,11.68,8119,386
25485,沃尔沃XC70,沃尔沃,沃尔沃亚太,26.99,34.99,8111,387
9825,红旗HS7 PHEV,红旗,一汽红旗,23.68,29.18,7880,388
993,揽胜极光,路虎,奇瑞捷豹路虎,22.88,26.98,7847,389
5416,岚图梦想家 EV,岚图,岚图汽车,34.99,44.99,7796,390
5935,世纪,别克,上汽通用别克,46.99,68.99,7704,391
2984,大通G50,大通,大通,6.98,9.98,7704,392
5579,海豹,比亚迪,比亚迪,16.58,23.18,7662,393
25188,比亚迪e7,比亚迪,比亚迪,10.38,13.98,7647,394
3066,途铠,大众,上汽大众,8.69,13.29,7555,395
6305,昆仑iHD,凯翼,凯翼汽车,10.99,21.98,7501,396
1323,现代ix35,现代,北京现代,9.47,14.07,7445,397
5364,奥迪Q6,奥迪,上汽奥迪,30.9,43.9,7317,398
9224,宝马i5,宝马,华晨宝马,31.39,42.83,7280,399
1792,沃尔沃XC60 PHEV,沃尔沃,沃尔沃亚太,35.49,43.49,7095,400
24599,尊界S800,尊界,江淮汽车,70.8,101.8,7077,401
3334,锐际,福特,长安福特,11.98,16.98,7057,402
25147,汉L DM,比亚迪,比亚迪,19.48,24.48,7044,403
1789,捷豹XEL,捷豹,奇瑞捷豹路虎,15.98,29.98,6961,404
292,冠道,本田,广汽本田,18.98,27.98,6843,405
3359,微蓝6,别克,上汽通用别克,8.48,9.09,6815,406
4783,长安UNI-K,长安,长安汽车,13.09,16.09,6811,407
798,捷豹XFL,捷豹,奇瑞捷豹路虎,22.98,25.98,6799,408
6060,拾月,凯翼,凯翼汽车,5.09,9.98,6785,409
1243,速派,斯柯达,上汽大众斯柯达,9.79,11.79,6679,410
4582,荣威i6 MAX EV,荣威,上汽集团,15.28,18.18,6646,411
4503,凌宝BOX,凌宝汽车,吉麦新能源,4.19,6.19,6538,412
25549,腾势N8L DM,腾势,腾势汽车,29.98,32.98,6514,413
8967,星途瑶光C-DM,星途,星途,13.99,21.88,6426,414
24932,长安欧尚520,长安欧尚,长安汽车,16.68,16.68,6295,415
1116,起亚K3,起亚,起亚,7.69,10.79,6141,416
20135,MG ES5,名爵,上汽集团,11.69,19.69,6076,417
25135,海狮07DM,比亚迪,比亚迪,16.98,20.58,5951,418
6124,哈弗大狗PLUS PHEV,哈弗,长城汽车,12.28,15.78,5886,419
288,缤智,本田,广汽本田,8.98,10.99,5866,420
5557,皓极,东风风神,东风乘用车,11.99,14.69,5844,421
4422,北京X7,北京汽车,北京汽车,9.49,13.69,5795,422
6160,悦也,宝骏,上汽通用五菱,7.68,9.08,5740,423
1456,逸动EV,长安,长安汽车,14.99,14.99,5661,424
3720,星途揽月,星途,星途,16.99,23.39,5656,425
2963,奥迪Q2L,奥迪,一汽奥迪,12.37,15.12,5618,426
9636,坦克700 Hi4-T,坦克,长城汽车,42.8,70.0,5609,427
5439,长安欧尚Z6,长安欧尚,长安汽车,8.59,13.79,5442,428
4311,炫界,凯翼,凯翼汽车,6.39,9.49,5363,429
3028,易至EV3,江铃集团新能源,江铃集团新能源,6.28,6.68,5258,430
6365,雅阁 PHEV,本田,广汽本田,15.88,20.88,5248,431
4569,凯捷Victory,五菱汽车,上汽通用五菱,8.58,14.98,5240,432
25600,至境L7,别克,别克至境,16.99,21.59,5232,433
24893,捷达VA7,捷达,一汽-大众捷达,8.57,11.97,5146,434
25544,风云X3,奇瑞风云,奇瑞汽车,8.99,10.99,5086,435
5339,威飒,丰田,广汽丰田,15.88,24.58,5058,436
287,凌派,本田,广汽本田,8.98,13.98,5037,437
3981,冒险家,林肯,长安林肯,17.99,30.08,5012,438
6272,smart精灵#3,smart,smart,16.49,28.99,4976,439
2989,帕萨特PHEV,大众,上汽大众,16.32,21.71,4950,440
9264,捷达VS8,捷达,一汽-大众捷达,9.59,10.99,4831,441
4989,奥迪Q5L Sportback,奥迪,一汽奥迪,27.35,30.95,4825,442
1628,启辰D60,启辰,东风日产,6.68,7.78,4805,443
