series_id,series_name,brand_name,sub_brand_name,min_price,max_price,count,score,rank
20154,星愿,吉利银河,吉利银河,6.48,9.48,446119,0,1
4499,五菱宏光MINIEV,五菱汽车,上汽通用五菱,3.58,5.28,443981,0,2
4363,Model Y,特斯拉,特斯拉中国,26.35,31.35,421344,0,3
5952,海鸥,比亚迪,比亚迪,6.68,8.28,341403,0,4
1145,轩逸,日产,东风日产,6.19,12.99,333308,0,5
393,朗逸,大众,上汽大众,7.1,11.29,287903,0,6
6187,小米SU7,小米汽车,小米汽车,21.59,29.99,272856,0,7
4857,星越L,吉利汽车,吉利汽车,12.97,16.67,265082,0,8
4802,秦PLUS DM,比亚迪,比亚迪,6.98,9.38,263989,0,9
414,速腾,大众,一汽-大众,8.49,13.19,260154,0,10
398,帕萨特,大众,上汽大众,13.85,28.38,238523,0,11
6025,博越L,吉利汽车,吉利汽车,9.29,13.77,227711,0,12
546,RAV4荣放,丰田,一汽丰田,12.13,21.08,219818,0,13
9796,秦L DM,比亚迪,比亚迪,8.98,14.38,213166,0,14
404,途观L,大众,上汽大众,13.78,22.58,210010,0,15
535,凯美瑞,丰田,广汽丰田,13.38,22.18,206178,0,16
415,迈腾,大众,一汽-大众,12.29,21.69,202441,0,17
2794,瑞虎8,奇瑞,奇瑞汽车,7.99,12.29,193600,0,18
3762,Model 3,特斯拉,特斯拉中国,23.55,33.95,193438,0,19
3196,长安CS75 PLUS,长安,长安汽车,8.99,13.49,191062,0,20
9689,元UP,比亚迪,比亚迪,7.48,10.98,189063,0,21
3504,宋Pro DM,比亚迪,比亚迪,8.98,12.78,187673,0,22
5382,卡罗拉锐放,丰田,一汽丰田,9.48,14.98,186394,0,23
9824,海豹06DM,比亚迪,比亚迪,9.18,13.18,183950,0,24
5845,理想L6,理想汽车,理想汽车,24.98,26.98,181609,0,25
10170,小鹏MONA M03,小鹏汽车,小鹏汽车,11.98,13.98,178844,0,26
2835,探岳,大众,一汽-大众,13.39,20.49,177973,0,27
280,本田CR-V,本田,东风本田,12.99,20.79,175022,0,28
